t,d01_err,d02_err,d12_err,o_error,o_error_deg
2.26,1.0004,0.7809,0.7117,1.7004,28.23
2.28,1.0004,0.7809,0.7117,1.7004,28.23
2.30,1.0004,0.7809,0.7117,1.7004,28.23
2.32,1.0004,0.7809,0.7117,1.7004,28.23
2.34,1.0004,0.7809,0.7117,1.7004,28.23
2.36,1.0004,0.7809,0.7117,1.7004,28.23
2.38,1.0004,0.7809,0.7117,1.7004,28.23
2.40,1.0004,0.7809,0.7117,1.7004,28.23
2.42,1.0004,0.7809,0.7117,1.7004,28.23
2.44,1.0004,0.7809,0.7117,1.7004,28.23
2.46,1.0004,0.7809,0.7117,1.7004,28.23
2.48,1.0004,0.7809,0.7117,1.7004,28.23
2.50,1.0004,0.7809,0.7117,1.7004,28.23
2.52,1.0004,0.7809,0.7117,1.7004,28.23
2.54,1.0004,0.7809,0.7117,1.7004,28.23
2.56,1.0004,0.7809,0.7117,1.7004,28.23
2.58,1.0004,0.7809,0.7117,1.7004,28.23
2.60,1.0004,0.7809,0.7117,1.7004,28.23
2.62,1.0004,0.7809,0.7117,1.7004,28.23
2.64,1.0004,0.7809,0.7117,1.7004,28.23
2.66,1.0004,0.7809,0.7117,1.7004,28.23
2.68,1.0004,0.7809,0.7117,1.7004,28.23
2.70,1.0004,0.7809,0.7117,1.7004,28.23
2.72,1.0004,0.7809,0.7117,1.7004,28.23
2.74,1.0004,0.7809,0.7117,1.7004,28.23
2.76,1.0004,0.7809,0.7117,1.7004,28.23
2.78,1.0004,0.7809,0.7117,1.7004,28.23
2.80,1.0004,0.7809,0.7117,1.7004,28.23
2.82,1.0004,0.7809,0.7117,1.7004,28.23
2.84,1.0004,0.7809,0.7117,1.7004,28.23
2.86,1.0004,0.7809,0.7117,1.7004,28.23
2.88,1.0004,0.7809,0.7117,1.7004,28.23
2.90,1.0004,0.7809,0.7117,1.7004,28.23
2.92,1.0004,0.7809,0.7117,1.7004,28.23
2.94,1.0004,0.7809,0.7117,1.7004,28.23
2.96,1.0004,0.7809,0.7117,1.7004,28.23
2.98,1.0004,0.7809,0.7117,1.7004,28.23
3.00,1.0004,0.7809,0.7117,1.7004,28.23
3.02,1.0004,0.7809,0.7117,1.7004,28.23
3.04,1.0004,0.7809,0.7117,1.7004,28.23
3.06,1.0004,0.7809,0.7117,1.7004,28.23
3.08,1.0004,0.7809,0.7117,1.7004,28.23
3.10,1.0004,0.7809,0.7117,1.7004,28.23
3.12,1.0004,0.7809,0.7117,1.7004,28.23
3.14,1.0004,0.7809,0.7117,1.7004,28.23
3.16,1.0004,0.7809,0.7117,1.7004,28.23
3.18,1.0004,0.7809,0.7117,1.7004,28.23
3.20,1.0004,0.7809,0.7117,1.7004,28.23
3.22,1.0004,0.7809,0.7117,1.7004,28.23
3.24,1.0004,0.7809,0.7117,1.7004,28.23
3.26,1.0004,0.7809,0.7117,1.7004,28.23
3.28,1.0004,0.7809,0.7117,1.7004,28.23
3.30,1.0004,0.7809,0.7117,1.7004,28.23
3.32,1.0004,0.7809,0.7117,1.7004,28.23
3.34,1.0004,0.7809,0.7117,1.7004,28.23
3.36,1.0004,0.7809,0.7117,1.7004,28.23
3.38,1.0004,0.7809,0.7117,1.7004,28.23
3.40,1.0004,0.7809,0.7117,1.7004,28.23
3.42,1.0004,0.7809,0.7117,1.7004,28.23
3.44,1.0004,0.7809,0.7117,1.7004,28.23
3.46,1.0004,0.7809,0.7117,1.7004,28.23
3.48,1.0004,0.7809,0.7117,1.7004,28.23
3.50,1.0004,0.7809,0.7117,1.7004,28.23
3.52,1.0004,0.7809,0.7117,1.7004,28.23
3.54,1.0004,0.7809,0.7117,1.7004,28.23
3.56,1.0004,0.7809,0.7117,1.7004,28.23
3.58,1.0004,0.7809,0.7117,1.7004,28.23
3.60,1.0004,0.7809,0.7117,1.7004,28.23
3.62,1.0004,0.7809,0.7117,1.7004,28.23
3.64,1.0004,0.7809,0.7117,1.7004,28.23
3.66,1.0004,0.7809,0.7117,1.7004,28.23
3.68,1.0004,0.7809,0.7117,1.7004,28.23
3.70,1.0004,0.7809,0.7117,1.7004,28.23
3.72,1.0004,0.7809,0.7117,1.7004,28.23
3.74,1.0004,0.7809,0.7117,1.7004,28.23
3.76,1.0004,0.7809,0.7117,1.7004,28.23
3.78,1.0004,0.7809,0.7117,1.7004,28.23
3.80,1.0004,0.7809,0.7117,1.7004,28.23
3.82,1.0004,0.7809,0.7117,1.7004,28.23
3.84,1.0004,0.7809,0.7117,1.7004,28.23
3.86,1.0004,0.7809,0.7117,1.7004,28.23
3.88,1.0004,0.7809,0.7117,1.7004,28.23
3.90,1.0004,0.7809,0.7117,1.7004,28.23
3.92,1.0004,0.7809,0.7117,1.7004,28.23
3.94,1.0004,0.7809,0.7117,1.7004,28.23
3.96,1.0004,0.7809,0.7117,1.7004,28.23
3.98,1.0004,0.7809,0.7117,1.7004,28.23
4.00,1.0004,0.7809,0.7117,1.7004,28.23
4.02,1.0004,0.7809,0.7117,1.7004,28.23
4.04,1.0004,0.7809,0.7117,1.7004,28.23
4.06,1.0004,0.7809,0.7117,1.7004,28.23
4.08,1.0004,0.7809,0.7117,1.7004,28.23
4.10,1.0004,0.7809,0.7117,1.7004,28.23
4.12,1.0004,0.7809,0.7117,1.7004,28.23
4.14,1.0004,0.7809,0.7117,1.7004,28.23
4.16,1.0004,0.7809,0.7117,1.7004,28.23
4.18,1.0004,0.7809,0.7117,1.7004,28.23
4.20,1.0004,0.7809,0.7117,1.7004,28.23
4.22,1.0004,0.7809,0.7117,1.7004,28.23
4.24,1.0004,0.7809,0.7117,1.7004,28.23
4.26,1.0004,0.7809,0.7117,1.7004,28.23
4.28,1.0004,0.7809,0.7117,1.7004,28.23
4.30,1.0004,0.7809,0.7117,1.7004,28.23
4.32,1.0004,0.7809,0.7117,1.7004,28.23
4.34,1.0004,0.7809,0.7117,1.7004,28.23
4.36,1.0004,0.7809,0.7117,1.7004,28.23
4.38,1.0004,0.7809,0.7117,1.7004,28.23
4.40,1.0004,0.7809,0.7117,1.7004,28.23
